created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 18 23:08:53 +0000 2023;1714780621464326421;"@UyokBack Menurut penerawangan nama Ganjar dan Mahfud itu tidak jodoh, jd sulit menang";0;0;0;0;in;923584292445306881;1714509078263955610;BudionoCapiten;https://twitter.com/BudionoCapiten/status/1714780621464326421
Wed Oct 18 23:08:53 +0000 2023;1714780621338476840;"Jadi Cawapres Ganjar, Ternyata Mahfud MD Tak Punya Utang, Segini Kekayaannya dari Aset Tanah dan Mobil   https://t.co/ihXqkgTjQ8";0;0;0;1;in;263711825;1714780621338476840;tribunjateng;https://twitter.com/tribunjateng/status/1714780621338476840
Wed Oct 18 23:08:44 +0000 2023;1714780582390235250;"MAHFUD MD RESMI JADI BACAWAPRES GANJAR PRANOWO BERIKUT DERETAN PRESTASINYA https://t.co/VqBpy1dKHf";0;0;0;0;in;1579854111209533440;1714780572852330566;Ranger_Merah_21;https://twitter.com/Ranger_Merah_21/status/1714780582390235250
Wed Oct 18 23:08:44 +0000 2023;1714780580037247331;"MAHFUD MD RESMI JADI BACAWAPRES GANJAR PRANOWO BERIKUT DERETAN PRESTASINYA https://t.co/IuohirkZTo";0;1;0;0;in;1579854111209533440;1714780572852330566;Ranger_Merah_21;https://twitter.com/Ranger_Merah_21/status/1714780580037247331
Wed Oct 18 23:08:43 +0000 2023;1714780577608749427;"MAHFUD MD RESMI JADI BACAWAPRES GANJAR PRANOWO BERIKUT DERETAN PRESTASINYA https://t.co/YFrdK8pCU4";0;1;0;0;in;1579854111209533440;1714780572852330566;Ranger_Merah_21;https://twitter.com/Ranger_Merah_21/status/1714780577608749427
Wed Oct 18 23:08:42 +0000 2023;1714780575008170003;"MAHFUD MD RESMI JADI BACAWAPRES GANJAR PRANOWO BERIKUT DERETAN PRESTASINYA https://t.co/cKlqUbqtPW";0;1;0;0;in;1579854111209533440;1714780572852330566;Ranger_Merah_21;https://twitter.com/Ranger_Merah_21/status/1714780575008170003
Wed Oct 18 23:08:42 +0000 2023;1714780572852330566;"MAHFUD MD RESMI JADI BACAWAPRES GANJAR PRANOWO BERIKUT DERETAN PRESTASINYA https://t.co/A5XdkfYaHj";0;1;0;0;in;1579854111209533440;1714780572852330566;Ranger_Merah_21;https://twitter.com/Ranger_Merah_21/status/1714780572852330566
Wed Oct 18 23:08:30 +0000 2023;1714780521325314479;"@kompascom Semoga Pak ganjar dan Pak mahfud menjadi pemimpin Indonesia selanjutnya";0;0;0;0;in;1707037172220739584;1714601552575644109;Laylaactk;https://twitter.com/Laylaactk/status/1714780521325314479
Wed Oct 18 23:08:29 +0000 2023;1714780518590664898;"@ganjarpranowo @mohmahfudmd Semua pasti mendoakn nih pak Ganjar Mahfud jadi yg terbaik";0;0;0;0;in;1662479973821861888;1714509571082060219;yunita_2407;https://twitter.com/yunita_2407/status/1714780518590664898
Wed Oct 18 23:08:17 +0000 2023;1714780468519059741;"Kita kawan pak Ganjar dan Mahfud MD sampe jadi presiden n wakil presiden https://t.co/IIl9k8Si05";0;0;0;0;in;1451858184809844739;1714780468519059741;nelta_putri3;https://twitter.com/nelta_putri3/status/1714780468519059741
